"Categoria";"Decorrenza";"Scadenza";"Stato File";"Anno Scadenza";"Anno Stipula";"Tipologia";"Anno Decorrenza";"Codice CCNL";"Stipula";"Ultimo vigente";
"CEMENTO  CALCE  GESSO: Industrie";"01/01/2010";"31/12/2012";"I";"2012";"2010";"Accordo di rinnovo";"2010";"F032";"26/02/2010";"SI";
"COMMERCIO E SERVIZI";"01/01/2011";"31/12/2013";"I";"2013";"2011";"Accordo di rinnovo";"2011";"H011";"26/02/2011";"SI";
"COMMERCIO E SERVIZI";"01/01/2011";"31/12/2013";"I";"2013";"2011";"Accordo di rinnovo";"2011";"H011";"26/02/2011";"SI";
"MINISTERI";"01/01/1985";"";"C";"";"1987";"Testo definitivo";"1985";"S001870";"26/03/1987";"";
"MINERO-METALLURGICHE: Industrie";"01/01/1996";"31/12/1999";"C";"1999";"1996";"Accordo di rinnovo";"1996";"B282960";"26/03/1996";"";
"MINERO-METALLURGICHE: Industrie";"01/01/1996";"31/12/1999";"C";"1999";"1996";"Testo definitivo";"1996";"B282961";"26/03/1996";"";
"ORAFI  ARGENTIERI ED AFFINI: Artigiani";"01/04/1996";"31/12/1996";"C";"1996";"1996";"Economico 2. biennio";"1996";"C025960";"26/03/1996";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"1998";"Verbale integrativo";"";"J267982";"26/03/1998";"";
"SANITA': Personale non medico area privata";"01/01/2000";"31/12/2001";"C";"2001";"2002";"Economico 2. biennio";"2000";"T011020";"26/03/2002";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2003";"Verbale integrativo";"";"J257033";"26/03/2003";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2003";"Verbale integrativo";"";"J267033";"26/03/2003";"";
"DIRIGENTI: Aziende Industriali";"01/01/2002";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2002";"V012030";"26/03/2003";"";
"AGRICOLTURA: Impiegati";"";"";"C";"";"2007";"Verbale Integrativo";"";"A021070";"26/03/2007";"";
"GIORNALISTI";"01/04/2009";"31/03/2013";"I";"2013";"2009";"Testo definitivo";"2009";"G031";"26/03/2009";"SI";
"ZOOTECNIA : Operai e Impiegati";"01/01/1992";"31/12/1994";"C";"1994";"1994";"Economico 2. biennio";"1992";"A221940";"26/04/1994";"";
"COMMERCIO E SERVIZI: Dirigenti";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Accordo di rinnovo";"1995";"H021950";"26/04/1995";"";
"COMMERCIO E SERVIZI: Dirigenti";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Testo definitivo";"1995";"H021951";"26/04/1995";"";
"PANIFICAZIONE: Artigiane";"01/04/1996";"30/06/1997";"C";"1997";"1996";"Economico 2. biennio";"1996";"E025960";"26/04/1996";"";
"PELLI E SUCCEDANEI: Industrie";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D111060";"26/04/2006";"";
"SERVIZI ASSISTENZIALI: Personale ANPAS";"01/01/2004";"31/12/2005";"C";"2005";"2006";"Economico 2. biennio";"2004";"T171060";"26/04/2006";"";
"AZIENDE MANUTENZIONE DEL VERDE";"01/01/2006";"31/12/2009";"C";"2009";"2006";"Accordo di rinnovo";"2006";"A191060";"26/04/2006";"SI";
"ASSOCIAZIONI DI CATEGORIA E DI SETTORE";"01/05/2007";"30/04/2011";"C";"2011";"2007";"Testo definitivo";"2007";"V921070";"26/04/2007";"SI";
"EDILI: Cooperative di Produzione e Lavoro";"01/04/2010";"31/12/2012";"I";"2012";"2010";"Accordo di rinnovo";"2010";"F016";"26/04/2010";"SI";
"Imprese Sociali ed Enti del Terzo Settore";"01/01/2011";"31/12/2013";"I";"2013";"2011";"Testo definitivo";"2011";"T198";"26/04/2011";"SI";
"CARTARIE E CARTOTECNICHE: Industrie";"01/05/1990";"30/04/1993";"C";"1993";"1990";"Testo definitivo";"1990";"G022900";"26/05/1990";"";
"PULIZIA: Imprese";"01/05/1993";"31/12/1994";"C";"1994";"1993";"Accordo di rinnovo";"1993";"K511930";"26/05/1993";"";
"PULIZIA: Imprese";"01/05/1993";"31/12/1994";"C";"1994";"1993";"Testo definitivo";"1993";"K511931";"26/05/1993";"";
"PULIZIA Disinfezione Disinfestazione (PMI Cooperative Artigiane)";"01/06/1993";"31/12/1994";"C";"1994";"1993";"Accordo di rinnovo";"1993";"K521931";"26/05/1993";"";
"ISTITUTO COMMERCIO ESTERO: Dirigenti";"01/01/1994";"31/12/1997";"C";"1997";"1997";"Testo definitivo";"1994";"S612970";"26/05/1997";"";
"POMPE FUNEBRI: Agenzie Pubbliche";"01/06/1998";"31/12/2000";"C";"2000";"1998";"Testo definitivo";"1998";"IB17980";"26/05/1998";"";
"EUR: Personale dirigente";"01/01/1996";"31/12/1997";"C";"1997";"1998";"Economico 2. biennio";"1996";"S632981";"26/05/1998";"";
"SCUOLA: Comparto PUBBLICO";"01/01/1998";"31/12/2001";"C";"2001";"1999";"Testo definitivo";"1998";"S321990";"26/05/1999";"";
"AUTOFERROTRANVIERI: Dirigenti";"01/01/2002";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2002";"I012030";"26/05/2003";"";
"COLLABORAZIONI Coordinate e Continuative (INTERSOS)";"";"";"C";"";"2003";"Verbale integrativo";"";"V151031";"26/05/2003";"";
"LAPIDEI (Estr. e Lavoraz.): PMI";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Accordo di rinnovo";"2004";"F048040";"26/05/2004";"";
"LAPIDEI (Estr. e Lavoraz.): PMI";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Testo definitivo";"2004";"F048042";"26/05/2004";"";
"SERVIZI SOCIO-ASSISTENZIALI: Cooperative";"01/01/2002";"31/12/2005";"C";"2005";"2004";"Testo definitivo";"2002";"T151041";"26/05/2004";"";
"AZIENDE e Amministr. dello Stato a gestione autonoma";"01/01/2002";"31/12/2005";"C";"2005";"2004";"Testo definitivo";"2002";"S411040";"26/05/2004";"SI";
"LATERIZI E MANUF. IN CEMENTO: Industrie";"01/01/2008";"31/03/2012";"C";"2012";"2008";"Accordo di rinnovo";"2008";"F021";"26/05/2008";"";
"FARMACIE PRIVATE";"01/02/2006";"31/01/2010";"I";"2010";"2009";"Testo definitivo";"2006";"H121";"26/05/2009";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"I";"";"2009";"Verbale Integrativo";"";"J257";"26/05/2009";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"I";"";"2009";"Verbale Integrativo";"";"J257";"26/05/2009";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"I";"";"2009";"Verbale Integrativo";"";"J267";"26/05/2009";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"I";"";"2009";"Verbale Integrativo";"";"J267";"26/05/2009";"";
"SIAE (SOCIETA' ITALIANA AUTORI ED EDITORI)";"01/01/1991";"31/12/1993";"C";"1993";"1991";"Accordo di rinnovo";"1991";"G411910";"26/06/1991";"";
"ASSICURAZIONI: Agenzie in gestione libera (SNA)";"01/01/1988";"31/12/1991";"C";"1991";"1992";"Testo definitivo";"1988";"J141920";"26/06/1992";"";
"AUTOFERROTRANVIERI: Dirigenti";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Accordo di rinnovo";"1995";"I012950";"26/06/1995";"";
"ENTI PREVIDENZIALI PRIVATIZZATI";"01/01/1996";"31/12/1999";"C";"1999";"1996";"Testo definitivo";"1996";"T411960";"26/06/1996";"";
"SERVIZI ASSISTENZIALI: Personale AIAS";"01/01/1998";"31/12/2001";"C";"2001";"2000";"Testo definitivo";"1998";"T161000";"26/06/2000";"";
"AGENTI DI COMMERCIO (Sett. Commercio)";"01/07/2002";"31/03/2006";"C";"2006";"2002";"Testo definitivo";"2002";"H091";"26/06/2002";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"01/07/2002";"";"C";"";"2002";"Accordo di rinnovo";"2002";"J257020";"26/06/2002";"";
"BANCARI: Banca D'Italia - carriera Operativa";"01/07/2002";"";"C";"";"2002";"Accordo di rinnovo";"2002";"J267020";"26/06/2002";"";
"CARTARIE E CARTOTECNICHE: Industrie";"01/07/2003";"30/06/2005";"C";"2005";"2003";"Economico 2. biennio";"2003";"G022030";"26/06/2003";"";
"PULIZIA: Imprese";"01/06/2003";"31/05/2005";"C";"2005";"2003";"Economico 2. biennio";"2003";"K511030";"26/06/2003";"";
"CONSORZI ED ENTI DI INDUSTRIALIZZAZIONE: Dirigenti";"01/01/2006";"31/12/2007";"C";"2007";"2007";"Economico 2. biennio";"2006";"T812";"26/06/2007";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"26/06/2008";"";
"PONTIFICIA UNIVERSITA' GREGORIANA";"01/01/2006";"31/12/2009";"C";"2009";"2008";"Testo definitivo";"2006";"T281";"26/06/2008";"SI";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"31/12/2009";"F";"2009";"2008";"Accordo di rinnovo";"";"J257";"26/06/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"F";"";"2008";"Accordo di rinnovo";"";"J267";"26/06/2008";"";
"SIAE (SOCIETA' ITALIANA AUTORI ED EDITORI)";"";"";"I";"";"2012";"Accordo di rinnovo";"";"G411";"26/06/2012";"";
"PULIZIA: Igiene Urbana PRIVATE";"01/01/2011";"31/12/2013";"I";"2013";"2012";"Accordo di rinnovo";"2011";"K531";"26/06/2012";"SI";
"MOTORISTI ED Elettromeccanici Collaudatori di volo";"01/07/1985";"30/06/1988";"C";"1988";"1985";"Testo definitivo";"1985";"I8B2850";"26/07/1985";"";
"MARITTIMI: Tecnici e Amministrativi TELEMAR";"01/07/1988";"31/12/1990";"C";"1990";"1988";"Accordo di rinnovo";"1988";"I401880";"26/07/1988";"";
"ELETTRICI: ENEL";"01/01/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"K031910";"26/07/1991";"";
"ODONTOTECNICI: Artigiani";"01/01/1993";"31/12/1996";"C";"1996";"1993";"Accordo di rinnovo";"1993";"C035930";"26/07/1993";"";
"ODONTOTECNICI: Artigiani";"01/01/1993";"31/12/1996";"C";"1996";"1993";"Testo definitivo";"1993";"C035931";"26/07/1993";"";
"FUNIVIE TERRESTRI ED AEREE";"01/05/1994";"30/04/1998";"C";"1998";"1994";"Testo definitivo";"1994";"I911941";"26/07/1994";"";
"PANIFICAZIONE: Industrie";"01/08/1995";"31/07/1999";"C";"1999";"1995";"Accordo di rinnovo";"1995";"E021950";"26/07/1995";"";
"PANIFICAZIONE: Industrie";"01/08/1995";"31/07/1999";"C";"1999";"1995";"Testo definitivo";"1995";"E021951";"26/07/1995";"";
"CINEMA AUDIOVISIVI: Industrie";"30/06/1996";"30/06/1998";"C";"1998";"1996";"Economico 2. biennio";"1996";"G111960";"26/07/1996";"";
"MINISTERI";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Economico 2. biennio";"1996";"S001960";"26/07/1996";"";
"MINISTERI";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Verbale integrativo";"1996";"S001961";"26/07/1996";"";
"ENTE POSTE ITALIANE";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Verbale integrativo";"1996";"T311960";"26/07/1996";"";
"DISCOGRAFICI - VIDEOFONOGRAFICI";"01/07/1999";"30/06/2001";"C";"2001";"1999";"Economico 2. biennio";"1999";"G421990";"26/07/1999";"";
"LAPIDEI (Estr. e Lavoraz.): Artigiane";"01/10/1999";"30/09/2003";"C";"2003";"2000";"Testo definitivo";"1999";"F045000";"26/07/2000";"";
"GIORNALI E QUOTIDIANI: Direttori e Dirigenti";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"G051000";"26/07/2000";"";
"GIORNALI E QUOTIDIANI: Direttori e Dirigenti";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"G051001";"26/07/2000";"";
"ALIMENTARISTI: Artigiane";"";"";"C";"";"2001";"Verbale integrativo";"";"E015011";"26/07/2001";"";
"TERZIARO E SERVIZI - CNAI-UCICT";"01/06/2001";"31/05/2005";"C";"2005";"2001";"Testo definitivo";"2001";"H018";"26/07/2001";"";
"AGRICOLTURA ED ATTIVITA' AFFINI";"";"";"C";"";"2002";"Verbale integrativo";"";"A061020";"26/07/2002";"";
"AGRICOLTURA ED ATTIVITA' AFFINI";"";"";"C";"";"2002";"Verbale integrativo";"";"A061021";"26/07/2002";"";
"TESSILI ABBIGLIAMENTO: Lavoraz. in conto terzi P.M.I - CISAL";"01/08/2002";"31/07/2004";"C";"2004";"2002";"Economico 2. biennio";"2002";"D019022";"26/07/2002";"";
"ALIMENTARISTI (CNAI-CISAL)";"";"";"C";"";"2002";"Verbale integrativo";"";"E019020";"26/07/2002";"";
"ALIMENTARISTI (CNAI-CISAL)";"";"";"C";"";"2002";"Verbale integrativo";"";"E019021";"26/07/2002";"";
"COMMERCIO - CISAL (fino a 14 dipendenti)";"01/02/2002";"31/01/2004";"C";"2004";"2002";"Economico 2. biennio";"2002";"H019022";"26/07/2002";"";
"COMMERCIO - CISAL (da 15 a 50 dipendenti)";"01/02/2002";"31/01/2004";"C";"2004";"2002";"Economico 2. biennio";"2002";"H029022";"26/07/2002";"";
"COMMERCIO - CISAL (da 51 dipendenti in poi)";"01/02/2002";"31/01/2004";"C";"2004";"2002";"Economico 2. biennio";"2002";"H039022";"26/07/2002";"";
"PORTUALI: Lavoratori dei Porti";"01/01/2005";"31/12/2008";"C";"2008";"2005";"Testo definitivo";"2005";"I5G1050";"26/07/2005";"";
"AEREI: Personale di Terra (Assaeroporti)";"01/01/2004";"31/12/2007";"C";"2007";"2005";"Accordo di rinnovo";"2004";"I851050";"26/07/2005";"";
"PANIFICAZIONE: CONFCOMMERCIO";"26/07/2007";"";"C";"";"2007";"Verbale Integrativo";"2007";"E027070";"26/07/2007";"";
"TURISMO (AZIENDE CONFCOMMERCIO)";"01/01/2006";"31/12/2009";"C";"2009";"2007";"Accordo di rinnovo";"2006";"H052070";"26/07/2007";"";
"ANAS (Ente Nazionale per le Strade)";"01/01/2006";"31/12/2009";"I";"2009";"2007";"Accordo di rinnovo";"2006";"T511";"26/07/2007";"SI";
"OMBRELLI OMBRELLONI ...: Industrie";"01/04/2010";"31/03/2013";"I";"2013";"2010";"Testo definitivo";"2010";"D251";"26/07/2010";"SI";
"CINEMA: Generici Produzione A.V.";"";"31/12/2013";"C";"2013";"2011";"Verbale Integrativo";"";"G131";"26/07/2011";"SI";
"PULIZIA: Imprese (Confcommercio)";"01/01/2010";"30/04/2013";"C";"2013";"2011";"Accordo di rinnovo";"2010";"K512";"26/07/2011";"SI";
"SIAE (SOCIETA' ITALIANA AUTORI ED EDITORI): Dirigenti";"27/07/2011";"31/12/2013";"I";"2013";"2011";"Testo definitivo";"2011";"G401";"26/07/2011";"SI";
"SIAE (SOCIETA' ITALIANA AUTORI ED EDITORI)";"01/08/2012";"31/12/2014";"I";"2014";"2012";"Testo definitivo";"2012";"G411";"26/07/2012";"SI";
"TESSILI ABBIGLIAMENTO: Lavoraz. in conto terzi P.M.I - CISAL";"01/08/1996";"31/07/2000";"C";"2000";"1996";"Testo definitivo";"1996";"D019960";"26/08/1996";"";
"MINISTERI";"01/01/1988";"";"C";"";"1989";"Testo definitivo";"1988";"S001900";"26/09/1989";"";
"AEREI: Piloti della Compagnia MERIDIANA";"";"31/12/1993";"C";"1993";"1991";"Accordo di rinnovo";"";"I814910";"26/09/1991";"";
"CINEMA: Generici Produzione A.V.";"01/01/1997";"26/09/2000";"C";"2000";"1996";"Accordo di rinnovo";"1997";"G131960";"26/09/1996";"";
"CINEMA: Generici Produzione A.V.";"01/01/1997";"26/09/2000";"C";"2000";"1996";"Testo definitivo";"1997";"G131961";"26/09/1996";"";
"FERROVIE: Dipendenti Esercizio Raccordi";"01/08/1995";"31/07/1998";"C";"1998";"1996";"Economico 2. biennio";"1995";"I341960";"26/09/1996";"";
"METANO";"01/01/1997";"31/12/1998";"C";"1998";"1997";"Economico 2. biennio";"1997";"B262970";"26/09/1997";"";
"FOTO LABORATORI CONTO TERZI";"01/05/1997";"30/04/1999";"C";"1999";"1997";"Economico 2. biennio";"1997";"G511970";"26/09/1997";"";
"METALMECCANICA: Cooperative";"";"";"C";"";"2001";"Verbale integrativo";"";"C016011";"26/09/2001";"";
"CONSORZI di Bonifica: Operai e Impiegati";"01/01/2006";"31/12/2007";"C";"2007";"2006";"Economico 2. biennio";"2006";"A131060";"26/09/2006";"";
"CONSORZI ED ENTI DI INDUSTRIALIZZAZIONE";"01/01/2006";"31/12/2009";"I";"2009";"2006";"Testo definitivo";"2006";"T811";"26/09/2006";"SI";
"PULIZIA: Igiene Urbana PRIVATE";"01/01/1992";"31/07/1994";"C";"1994";"1991";"Testo definitivo";"1992";"K531910";"26/10/1991";"";
"PUBBLICITA (SIPRA PUBLICITAS)";"01/01/1996";"31/12/1999";"C";"1999";"1995";"Testo definitivo";"1996";"G073950";"26/10/1995";"";
"GOMMA E PLASTICA: Industrie";"";"31/12/1999";"C";"1999";"1998";"Verbale integrativo";"";"B371981";"26/10/1998";"";
"IPPICA: Scuderie Cavalli da Corsa al Galoppo";"01/01/2000";"31/12/2001";"C";"2001";"2000";"Accordo di rinnovo";"2000";"GI31000";"26/10/2000";"";
"METALMECCANICA: Cooperative";"01/11/2004";"31/10/2008";"C";"2008";"2004";"Testo definitivo";"2004";"C017040";"26/10/2004";"";
"LATERIZI E MANUF. IN CEMENTO: Industrie";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Testo definitivo";"2004";"F021040";"26/10/2004";"";
"PULIZIA: Cooperative";"01/11/2004";"31/10/2008";"C";"2008";"2004";"Testo definitivo";"2004";"K551040";"26/10/2004";"";
"LAVANDERIE  TINTORIE ... : Industrie";"01/07/2005";"30/06/2007";"C";"2007";"2005";"Economico 2. biennio";"2005";"D0L1";"26/10/2005";"";
"PESCA: Cooperative";"01/01/2005";"31/12/2006";"C";"2006";"2005";"Economico 2. biennio";"2005";"E076050";"26/10/2005";"";
"CONCIA: Industrie";"01/11/2006";"31/10/2010";"C";"2010";"2006";"Accordo di rinnovo";"2006";"B101061";"26/10/2006";"";
"CONCIA: Industrie";"01/11/2006";"31/10/2010";"C";"2010";"2006";"Accordo di rinnovo";"2006";"B101062";"26/10/2006";"";
"MARITTIMI: Cap. Macchina Navi speciali";"01/01/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"I421910";"26/11/1991";"";
"MARITTIMI: Cap. Lungo Corso Navi SAIPEM";"01/01/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"I423910";"26/11/1991";"";
"MARITTIMI: Cap. Lungo Corso Armamento Libero";"01/01/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"I441910";"26/11/1991";"";
"ENTE POSTE ITALIANE";"26/11/1994";"31/12/1997";"C";"1997";"1994";"Testo definitivo";"1994";"T311940";"26/11/1994";"";
"COMMERCIO E SERVIZI";"";"";"C";"";"1996";"Verbale integrativo";"";"H011960";"26/11/1996";"";
"PIASTRELLE E REFRATTARI: Industrie";"01/07/1998";"30/06/2002";"C";"2002";"1998";"Accordo di rinnovo";"1998";"B122980";"26/11/1998";"";
"PIASTRELLE E REFRATTARI: Industrie";"01/07/1998";"30/06/2002";"C";"2002";"1998";"Testo definitivo";"1998";"B122981";"26/11/1998";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"26/11/2008";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"26/11/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"26/11/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"26/11/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"26/11/2008";"";
"COMMERCIO CONSUMO DISTRIBUZIONE E SERVIZI (cooperative)";"01/12/2008";"30/11/2011";"C";"2011";"2008";"Testo definitivo";"2008";"H040";"26/11/2008";"SI";
"ASSISTENZA FAMILIARE";"10/10/2008";"10/10/2010";"C";"2010";"2008";"Testo definitivo";"2008";"H508";"26/11/2008";"SI";
"CENTRI DI ELABORAZIONE DATI";"01/08/2008";"31/07/2012";"F";"2012";"2008";"Testo definitivo";"2008";"H634";"26/11/2008";"SI";
"PULIZIA Disinfezione Disinfestazione (PMI Cooperative Artigiane)";"";"31/12/1994";"C";"1994";"1993";"Accordo di rinnovo";"";"K521930";"27/01/1993";"";
"PESCA MARITTIMA: Industrie";"01/03/1994";"31/12/1996";"C";"1996";"1994";"Testo definitivo";"1994";"E071940";"27/01/1994";"";
"TESSILI ABBIGLIAMENTO - CALZATURE: Artigiane";"01/01/1997";"31/12/2000";"C";"2000";"1998";"Accordo di rinnovo";"1997";"D015980";"27/01/1998";"";
"TESSILI ABBIGLIAMENTO - CALZATURE: Artigiane";"01/01/1997";"31/12/2000";"C";"2000";"1998";"Testo definitivo";"1997";"D015981";"27/01/1998";"";
"CARTARIE E CARTOTECNICHE: Industrie";"10/07/1997";"30/06/2001";"C";"2001";"1998";"Accordo di rinnovo";"1997";"G022970";"27/01/1998";"";
"CARTARIE E CARTOTECNICHE: Industrie";"01/07/1997";"30/06/2001";"C";"2001";"1998";"Testo definitivo";"1997";"G022980";"27/01/1998";"";
"FONDAZIONE ENASARCO";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Testo definitivo";"1998";"T911980";"27/01/1998";"";
"CENTRI DI ELABORAZIONE DATI";"";"26/03/2001";"C";"2001";"1999";"Verbale integrativo";"";"H601990";"27/01/1999";"";
"ENTI LIRICI";"01/01/1998";"31/12/2001";"C";"2001";"2000";"Accordo di rinnovo";"1998";"G369000";"27/01/2000";"";
"ALBERGHI: Dirigenti";"01/01/1999";"31/12/2002";"C";"2002";"2000";"Accordo di rinnovo";"1999";"H061000";"27/01/2000";"";
"ALBERGHI: Dirigenti";"01/01/1999";"31/12/2002";"C";"2002";"2000";"Testo definitivo";"1999";"H061001";"27/01/2000";"";
"CINEMA: Tecnici e Maestranze";"31/03/2002";"31/03/2004";"C";"2004";"2003";"Economico 2. biennio";"2002";"G121030";"27/01/2003";"";
"PROPRIETARI FABBRICATI (Dipendenti)";"01/01/2004";"31/12/2006";"C";"2006";"2005";"Economico 2. biennio";"2004";"H401050";"27/01/2005";"";
"UNIVERSITA'";"01/01/2002";"31/12/2005";"C";"2005";"2005";"Accordo di rinnovo";"2002";"S331051";"27/01/2005";"";
"GIORNALISTI: Radio televisione - imprese locali";"01/01/2010";"31/12/2013";"I";"2013";"2010";"Verbale Integrativo";"2010";"G033";"27/01/2010";"";
"GIORNALISTI: Radio televisione - imprese locali";"01/01/2010";"31/12/2013";"I";"2013";"2010";"Testo definitivo";"2010";"G033";"27/01/2010";"SI";
"Area LEGNO LAPIDEI: Artigiane";"";"31/12/2012";"C";"2012";"2011";"Accordo di rinnovo";"";"F060";"27/01/2011";"";
"Area LEGNO LAPIDEI: Artigiane";"";"31/12/2012";"C";"2012";"2011";"Accordo di rinnovo";"";"F060";"27/01/2011";"SI";
"AUTOFERROTRANVIERI";"27/02/1987";"31/12/1988";"C";"1988";"1987";"Accordo di rinnovo";"1987";"I022870";"27/02/1987";"";
"ENTI LOCALI - REGIONI: Dirigenti";"01/01/1996";"31/12/1997";"C";"1997";"1997";"Economico 2. biennio";"1996";"S102970";"27/02/1997";"";
"LEGNO  ARREDAMENTO: Industrie";"01/01/2002";"31/12/2003";"C";"2003";"2002";"Economico 2. biennio";"2002";"F051020";"27/02/2002";"";
"UIL (Lavoratori Dipendenti)";"01/01/2007";"31/12/2010";"C";"2010";"2007";"Testo definitivo";"2007";"TA11070";"27/02/2007";"";
"METALMECCANICA: Artigiane";"01/01/2005";"31/12/2008";"C";"2008";"2008";"Accordo di rinnovo";"2005";"C015";"27/02/2008";"";
"MAGAZZINI GENERALI: Operai e Impiegati";"01/04/1991";"31/08/1994";"C";"1994";"1991";"Testo definitivo";"1991";"I231910";"27/03/1991";"";
"BANCARI: Casse Rurali e Artigiane - Credito Cooperativo";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Economico 2. biennio";"1996";"J271960";"27/03/1996";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2001";"Verbale integrativo";"";"J257010";"27/03/2001";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2001";"Verbale integrativo";"";"J267010";"27/03/2001";"";
"BANCARI: Casse Rurali e Artigiane - Credito Cooperativo - Dirigenti";"";"";"C";"";"2002";"Verbale integrativo";"";"J281021";"27/03/2002";"";
"PENNE SPAZZOLE ... : Industrie";"01/01/2006";"31/12/2007";"C";"2007";"2006";"Economico 2. biennio";"2006";"D241060";"27/03/2006";"";
"ASSICURAZIONI: Dipendenti (AISA-AISSA)";"01/04/2009";"31/12/2010";"C";"2010";"2009";"Accordo di rinnovo";"2009";"J131";"27/03/2009";"SI";
"EDILI: P.M.I. Artigiane Cooperative";"";"16/04/2012";"I";"2012";"2010";"Verbale Integrativo";"";"F01A";"27/03/2010";"";
"CEMENTO  CALCE  GESSO: P.M.I. - USAE";"27/03/2010";"27/03/2014";"I";"2014";"2010";"Testo definitivo";"2010";"F03A";"27/03/2010";"SI";
"LAPIDEI (Estr. e Lavoraz.): imprese artigiane (USAE)";"30/03/2010";"29/03/2014";"I";"2014";"2010";"Testo definitivo";"2010";"F046";"27/03/2010";"SI";
"COMMERCIO E SERVIZI";"26/04/2012";"";"F";"";"2012";"Verbale Integrativo";"2012";"H011";"27/03/2012";"";
"ATTIVITA' FUNEBRI E CIMITERIALI";"";"";"F";"";"2012";"Verbale Integrativo";"";"IB19";"27/03/2012";"";
"DIRIGENTI: Aziende Industriali";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Testo definitivo";"1995";"V012950";"27/04/1995";"";
"ENTE POSTE ITALIANE (Poste Italiane spa)";"";"";"C";"";"1998";"Verbale integrativo";"";"T311981";"27/04/1998";"";
"CALZATURE: Industrie";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"D121000";"27/04/2000";"";
"TEATRI: Personale non Artistico";"01/04/1999";"31/12/2003";"C";"2003";"2001";"Accordo di rinnovo";"1999";"G311010";"27/04/2001";"";
"TEATRI: Personale non Artistico";"01/04/1999";"31/12/2003";"C";"2003";"2001";"Testo definitivo";"1999";"G311011";"27/04/2001";"";
